"Derivco Australia","Derivco"
"Deutsche Bank (Suisse)","Deutsche Bank"
"Diebold Nixdorf Singapore","Diebold Nixdorf"
"DIGI ROMANIA","DIGI"
"DIGI SLOVAKIA","DIGI"
"DIGICEL (AUS)","DIGICEL"
"Digicel (PNG)","Digicel"
"Digicel Barbados","Digicel"
"Digicel BVI","Digicel"
"Digicel Jamaica","Digicel"
"Digicel Nauru","Digicel"
"Digicel Samoa","Digicel"
"Digicel Suriname","Digicel"
"Digicel Tonga","Digicel"
"Digicel Trinidad and Tobago","Digicel"
"Digicel Turks and Caicos","Digicel"
"Digicel Vanuatu","Digicel"
"Digital Edge Korea","Digital Edge"
"Digital Edge Philippines","Digital Edge"
"Digital Realty (UK)","Digital Realty"
"Digital Realty Korea","Digital Realty"
"Digital Realty Netherlands","Digital Realty"
"Dimension Data Asia Pacific","Dimension Data"
"Dimension Data Cloud Solutions Australia","Dimension Data Cloud Solutions"
"Dimension Data North America","Dimension Data"
"DIRECTV COLOMBIA","DIRECTV"
"DPD Deutschland","DPD"
"DPD Polska","DPD"
"DPDgroup UK","DPDgroup"
"DRW Investments (UK)","DRW Investments"
"DRW ISRAEL","DRW"
"DRW Singapore","DRW"
"Dun & Bradstreet (Australia)","Dun & Bradstreet"
"Dustin Finland","Dustin"
"Dustin NL","Dustin"
"Dustin Norway","Dustin"
"Dustin Sverige","Dustin"
"DXC Technology Australia","DXC Technology"
"DXC Technology Austria","DXC Technology"
"DXC Technology Danmark","DXC Technology"
"DXC Technology Polska","DXC Technology"
"DXC Technology South Africa","DXC Technology"
"EDF Trading North America","EDF Trading"
"EDGEUNO ARGENTINA","EDGEUNO"
"EDGEUNO ECUADOR","EDGEUNO"
"EDGEUNO MEXICO","EDGEUNO"
"Edmond de Rothschild (France)","Edmond de Rothschild"
"Edmond de Rothschild (Suisse)","Edmond de Rothschild"
"EG Danmark","EG"
"EG Norge","EG"
"Eircom (UK)","Eircom"
"Electronic Arts Canada","Electronic Arts"
"Elisa Eesti","Elisa"
"Emerson Electric UK","Emerson Electric"
"Endemol Shine Australia","Endemol Shine"
"Endemol Shine Nederland","Endemol Shine"
"Enreach Netherlands","Enreach"
"Entain Services (Bulgaria)","Entain Services"
"Entain Services Austria","Entain Services"
"ENTEL CHILE","ENTEL"
"ENTEL PERU","ENTEL"
"EntServ Deutschland","EntServ"
"EntServ UK","EntServ"
"EOLO Hrvatska","EOLO"
"Epsilon US","Epsilon"
"Equinix (Finland)","Equinix"
"Equinix (Germany)","Equinix"
"Equinix (Netherlands)","Equinix"
"Equinix (Poland)","Equinix"
"Equinix (Switzerland)","Equinix"
"Equinix Asia Pacific","Equinix"
"Equinix Australia","Equinix"
"EQUINIX BRASIL CX","EQUINIX"
"Equinix France","Equinix"
"Equinix Korea","Equinix"
"EQUINIX PERU","EQUINIX"
"Equinix Singapore","Equinix"
"Eurofiber France","Eurofiber"
"Eurofiber Nederland","Eurofiber"
"Eviden Austria","Eviden"
"Eviden Netherlands","Eviden"
"ExodusPoint Capital Management UK","ExodusPoint Capital Management"
"Experian Marketing Services (Malaysia)","Experian Marketing Services"
"Experian South Africa","Experian"
"Facebook Singapore","Facebook"
"Finastra Switzerland","Finastra"
"Finastra USA","Finastra"
"First Data Polska","First Data"
"First Data Resources Australia","First Data Resources"
"First Data Slovakia","First Data"
"Firstsource Solutions USA","Firstsource Solutions"
"Fiserv Solutions (Europe)","Fiserv Solutions"
"Flexential Colorado","Flexential"
"Flextronics International USA","Flextronics International"
"Flow Traders US","Flow Traders"
"Freepoint Commodities Europe","Freepoint Commodities"
"Freepoint Commodities Singapore","Freepoint Commodities"
"Fujitsu Consulting India","Fujitsu Consulting"
"Fujitsu Finland","Fujitsu"
"Fujitsu New Zealand","Fujitsu"
"Fujitsu North America","Fujitsu"
"Fujitsu Sweden","Fujitsu"
"Fujitsu Telecommunications Europe","Fujitsu Telecommunications"
"General Dynamics Mission Systems - Canada","General Dynamics Mission Systems"
"General Logistics Systems Croatia","General Logistics Systems"
"General Logistics Systems Poland","General Logistics Systems"
"General Motors Argentina","General Motors"
"GIGAS HOSTING CHILE","GIGAS HOSTING"
"GIGAS HOSTING COLOMBIA","GIGAS HOSTING"
"GIGAS HOSTING USA","GIGAS HOSTING"
"GLOBAL FIBER BRASIL","GLOBAL FIBER"
"GLOBAL FIBER DE COLOMBIA","GLOBAL FIBER"
"GLOBAL FIBER PERÚ","GLOBAL FIBER"
"Global One Chile","Global One"
"Global One Guatemala","Global One"
"Global One Mexico","Global One"
"Global One Peru","Global One"
"Global One Venezuela","Global One"
"Global Payments Europe","Global Payments"
"GLOBALFOUNDRIES SINGAPORE","GLOBALFOUNDRIES"
